# Compact ECDICT-style English-Chinese core lexicon for instant lookup.
# Fields: word, phonetic, meaning, root/affix, cognates, synonyms.
about	/əˈbaʊt/	关于；大约；在附近	无固定词根	around|concerning|approximately	near|around
after	/ˈæftər/	在……之后；后来	无固定词根	afterward|afternoon|afterlife	later|following
again	/əˈɡen/	再次；又一次	无固定词根	against|regain|gain	once more|anew
air	/eər/	空气；神态；旋律	拉丁语 aer，空气	aerial|aerate|aerobic	atmosphere|breeze
always	/ˈɔːlweɪz/	总是；一直	all + way 的固定副词	anyway|nowadays|sideways	forever|constantly
among	/əˈmʌŋ/	在……之中	无固定词根	amongst|mingle|communal	amid|between
answer	/ˈænsər/	回答；答案	古英语 andswaru，回应	responsive|respond|reply	reply|solution
because	/bɪˈkɔːz/	因为	by + cause	cause|causal|causation	since|as
before	/bɪˈfɔːr/	在……之前；以前	be + fore，前方	foresee|foreword|foretell	earlier|previously
between	/bɪˈtwiːn/	在两者之间；介于	古英语 tweon，两者	twin|twain|intertwine	amid|among
book	/bʊk/	书；预订	古英语 boc，书	booklet|bookmark|bookshelf	volume|reserve
child	/tʃaɪld/	儿童；孩子	无固定词根	childhood|childish|children	kid|youngster
city	/ˈsɪti/	城市	拉丁语 civis，市民	civic|civil|citizen	town|metropolis
day	/deɪ/	一天；白天	古英语 dæg	daily|daylight|today	date|daytime
door	/dɔːr/	门	古英语 duru	doorway|outdoor|indoors	gate|entrance
dream	/driːm/	梦；梦想	古英语 dream	dreamer|daydream|dreamlike	vision|wish
earth	/ɜːrθ/	地球；土地；泥土	古英语 eorthe	earthly|earthquake|unearth	world|soil
even	/ˈiːvən/	甚至；平坦的；偶数的	古英语 efen，平	evenly|uneven|evening	still|level
eye	/aɪ/	眼睛；视力	古英语 eage	eyelid|eyesight|eyewitness	sight|view
face	/feɪs/	脸；面对	拉丁语 facies，面貌	facial|surface|deface	look|confront
family	/ˈfæməli/	家庭；家人	拉丁语 familia	familiar|familial|familiarity	household|relatives
friend	/frend/	朋友	古英语 freond	friendly|friendship|befriend	companion|ally
good	/ɡʊd/	好的；善良的	古英语 god	goodness|goodwill|goods	fine|kind
great	/ɡreɪt/	伟大的；很大的	古英语 great	greatly|greatness|greater	grand|large
hand	/hænd/	手；递给	古英语 hand	handful|handle|handwriting	palm|give
heart	/hɑːrt/	心；内心；勇气	古英语 heorte	hearty|heartless|heartfelt	core|spirit
home	/hoʊm/	家；回家	古英语 ham	homeland|homely|homeward	house|dwelling
house	/haʊs/	房子；一家人	古英语 hus	household|housing|warehouse	home|building
